NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
ES111 - A Coruña;null;ES11 - Galicia;null;ES1 - NOROESTE;;;
ES112 - Lugo;null;ES11 - Galicia;null;ES1 - NOROESTE;;;
ES113 - Ourense;null;ES11 - Galicia;null;ES1 - NOROESTE;;;
ES114 - Pontevedra;null;ES11 - Galicia;null;ES1 - NOROESTE;;;
ES120 - Asturias;null;ES12 - Principado de Asturias;null;ES1 - NOROESTE;;;
ES130 - Cantabria;null;ES13 - Cantabria;null;ES1 - NOROESTE;;;
ES211 - Araba/Álava;null;ES21 - País Vasco;null;ES2 - NORESTE;;;
ES212 - Gipuzkoa;null;ES21 - País Vasco;null;ES2 - NORESTE;;;
ES213 - Bizkaia;null;ES21 - País Vasco;null;ES2 - NORESTE;;;
ES220 - Navarra;null;ES22 - Comunidad Foral de Navarra;null;ES2 - NORESTE;;;
ES230 - La Rioja;null;ES23 - La Rioja;null;ES2 - NORESTE;;;
ES241 - Huesca;null;ES24 - Aragón;null;ES2 - NORESTE;;;
ES242 - Teruel;null;ES24 - Aragón;null;ES2 - NORESTE;;;
ES243 - Zaragoza;null;ES24 - Aragón;null;ES2 - NORESTE;;;
ES300 - Madrid;null;ES30 - Comunidad de Madrid;null;ES3 - COMUNIDAD DE MADRID;;;
ES411 - Ávila;null;ES41 - Castilla y León;null;ES4 - CENTRO (ES);;;
ES412 - Burgos;null;ES41 - Castilla y León;null;ES4 - CENTRO (ES);;;
ES413 - León;null;ES41 - Castilla y León;null;ES4 - CENTRO (ES);;;
ES414 - Palencia;null;ES41 - Castilla y León;null;ES4 - CENTRO (ES);;;
ES415 - Salamanca;null;ES41 - Castilla y León;null;ES4 - CENTRO (ES);;;
ES416 - Segovia;null;ES41 - Castilla y León;null;ES4 - CENTRO (ES);;;
ES417 - Soria;null;ES41 - Castilla y León;null;ES4 - CENTRO (ES);;;
ES418 - Valladolid;null;ES41 - Castilla y León;null;ES4 - CENTRO (ES);;;
ES419 - Zamora;null;ES41 - Castilla y León;null;ES4 - CENTRO (ES);;;
ES421 - Albacete;null;ES42 - Castilla-La Mancha;null;ES4 - CENTRO (ES);;;
ES422 - Ciudad Real;null;ES42 - Castilla-La Mancha;null;ES4 - CENTRO (ES);;;
ES423 - Cuenca;null;ES42 - Castilla-La Mancha;null;ES4 - CENTRO (ES);;;
ES424 - Guadalajara;null;ES42 - Castilla-La Mancha;null;ES4 - CENTRO (ES);;;
ES425 - Toledo;null;ES42 - Castilla-La Mancha;null;ES4 - CENTRO (ES);;;
ES431 - Badajoz;null;ES43 - Extremadura;null;ES4 - CENTRO (ES);;;
ES432 - Cáceres;null;ES43 - Extremadura;null;ES4 - CENTRO (ES);;;
ES511 - Barcelona;null;ES51 - Cataluña;null;ES5 - ESTE;;;
ES512 - Girona;null;ES51 - Cataluña;null;ES5 - ESTE;;;
ES513 - Lleida;null;ES51 - Cataluña;null;ES5 - ESTE;;;
ES514 - Tarragona;null;ES51 - Cataluña;null;ES5 - ESTE;;;
ES521 - Alicante / Alacant;null;ES52 - Comunidad Valenciana;null;ES5 - ESTE;;;
ES522 - Castellón / Castelló;null;ES52 - Comunidad Valenciana;null;ES5 - ESTE;;;
ES523 - Valencia / València;null;ES52 - Comunidad Valenciana;null;ES5 - ESTE;;;
ES531 - Eivissa y Formentera;null;ES53 - Illes Balears;null;ES5 - ESTE;;;
ES532 - Mallorca;null;ES53 - Illes Balears;null;ES5 - ESTE;;;
ES533 - Menorca;null;ES53 - Illes Balears;null;ES5 - ESTE;;;
ES611 - Almería;null;ES61 - Andalucía;null;ES6 - SUR;;;
ES612 - Cádiz;null;ES61 - Andalucía;null;ES6 - SUR;;;
ES613 - Córdoba;null;ES61 - Andalucía;null;ES6 - SUR;;;
ES614 - Granada;null;ES61 - Andalucía;null;ES6 - SUR;;;
ES615 - Huelva;null;ES61 - Andalucía;null;ES6 - SUR;;;
ES616 - Jaén;null;ES61 - Andalucía;null;ES6 - SUR;;;
ES617 - Málaga;null;ES61 - Andalucía;null;ES6 - SUR;;;
ES618 - Sevilla;null;ES61 - Andalucía;null;ES6 - SUR;;;
ES620 - Murcia;null;ES62 - Región de Murcia;null;ES6 - SUR;;;
