NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
RO111 - Bihor;null;RO11 - Nord-Vest;null;RO1 - MACROREGIUNEA UNU;;;
RO112 - Bistriţa-Năsăud;null;RO11 - Nord-Vest;null;RO1 - MACROREGIUNEA UNU;;;
RO113 - Cluj;null;RO11 - Nord-Vest;null;RO1 - MACROREGIUNEA UNU;;;
RO114 - Maramureş;null;RO11 - Nord-Vest;null;RO1 - MACROREGIUNEA UNU;;;
RO115 - Satu Mare;null;RO11 - Nord-Vest;null;RO1 - MACROREGIUNEA UNU;;;
RO116 - Sălaj;null;RO11 - Nord-Vest;null;RO1 - MACROREGIUNEA UNU;;;
RO121 - Alba;null;RO12 - Centru;null;RO1 - MACROREGIUNEA UNU;;;
RO122 - Braşov;null;RO12 - Centru;null;RO1 - MACROREGIUNEA UNU;;;
RO123 - Covasna;null;RO12 - Centru;null;RO1 - MACROREGIUNEA UNU;;;
RO124 - Harghita;null;RO12 - Centru;null;RO1 - MACROREGIUNEA UNU;;;
RO125 - Mureş;null;RO12 - Centru;null;RO1 - MACROREGIUNEA UNU;;;
RO126 - Sibiu;null;RO12 - Centru;null;RO1 - MACROREGIUNEA UNU;;;
RO211 - Bacău;null;RO21 - Nord-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO212 - Botoşani;null;RO21 - Nord-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO213 - Iaşi;null;RO21 - Nord-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO214 - Neamţ;null;RO21 - Nord-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO215 - Suceava;null;RO21 - Nord-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO216 - Vaslui;null;RO21 - Nord-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO221 - Brăila;null;RO22 - Sud-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO222 - Buzău;null;RO22 - Sud-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO223 - Constanţa;null;RO22 - Sud-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO224 - Galaţi;null;RO22 - Sud-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO225 - Tulcea;null;RO22 - Sud-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO226 - Vrancea;null;RO22 - Sud-Est;null;RO2 - MACROREGIUNEA DOI;;;
RO311 - Argeş;null;RO31 - Sud - Muntenia;null;RO3 - MACROREGIUNEA TREI;;;
RO312 - Călăraşi;null;RO31 - Sud - Muntenia;null;RO3 - MACROREGIUNEA TREI;;;
RO313 - Dâmboviţa;null;RO31 - Sud - Muntenia;null;RO3 - MACROREGIUNEA TREI;;;
RO314 - Giurgiu;null;RO31 - Sud - Muntenia;null;RO3 - MACROREGIUNEA TREI;;;
RO315 - Ialomiţa;null;RO31 - Sud - Muntenia;null;RO3 - MACROREGIUNEA TREI;;;
RO316 - Prahova;null;RO31 - Sud - Muntenia;null;RO3 - MACROREGIUNEA TREI;;;
RO317 - Teleorman;null;RO31 - Sud - Muntenia;null;RO3 - MACROREGIUNEA TREI;;;
RO321 - Bucureşti;null;RO32 - Bucureşti - Ilfov;null;RO3 - MACROREGIUNEA TREI;;;
RO322 - Ilfov;null;RO32 - Bucureşti - Ilfov;null;RO3 - MACROREGIUNEA TREI;;;
RO411 - Dolj;null;RO41 - Sud-Vest Oltenia;null;RO4 - MACROREGIUNEA PATRU;;;
RO412 - Gorj;null;RO41 - Sud-Vest Oltenia;null;RO4 - MACROREGIUNEA PATRU;;;
RO413 - Mehedinţi;null;RO41 - Sud-Vest Oltenia;null;RO4 - MACROREGIUNEA PATRU;;;
RO414 - Olt;null;RO41 - Sud-Vest Oltenia;null;RO4 - MACROREGIUNEA PATRU;;;
RO415 - Vâlcea;null;RO41 - Sud-Vest Oltenia;null;RO4 - MACROREGIUNEA PATRU;;;
RO421 - Arad;null;RO42 - Vest;null;RO4 - MACROREGIUNEA PATRU;;;
RO422 - Caraş-Severin;null;RO42 - Vest;null;RO4 - MACROREGIUNEA PATRU;;;
RO423 - Hunedoara;null;RO42 - Vest;null;RO4 - MACROREGIUNEA PATRU;;;
RO424 - Timiş;null;RO42 - Vest;null;RO4 - MACROREGIUNEA PATRU;;;
