NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
BG311 - Видин (Vidin);null;BG31 - Северозападен (Severozapaden);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG312 - Монтана (Montana);null;BG31 - Северозападен (Severozapaden);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG313 - Враца (Vratsa);null;BG31 - Северозападен (Severozapaden);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG314 - Плевен (Pleven);null;BG31 - Северозападен (Severozapaden);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG315 - Ловеч (Lovech);null;BG31 - Северозападен (Severozapaden);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG321 - Велико Търново (Veliko Tarnovo);null;BG32 - Северен централен (Severen tsentralen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG322 - Габрово (Gabrovo);null;BG32 - Северен централен (Severen tsentralen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG323 - Русе (Ruse);null;BG32 - Северен централен (Severen tsentralen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG324 - Разград (Razgrad);null;BG32 - Северен централен (Severen tsentralen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG325 - Силистра (Silistra);null;BG32 - Северен централен (Severen tsentralen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG331 - Варна (Varna);null;BG33 - Североизточен (Severoiztochen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG332 - Добрич (Dobrich);null;BG33 - Североизточен (Severoiztochen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG333 - Шумен (Shumen);null;BG33 - Североизточен (Severoiztochen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG334 - Търговище (Targovishte);null;BG33 - Североизточен (Severoiztochen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG341 - Бургас (Burgas);null;BG34 - Югоизточен (Yugoiztochen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG342 - Сливен (Sliven);null;BG34 - Югоизточен (Yugoiztochen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
