NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
BG343 - Ямбол (Yambol);null;BG34 - Югоизточен (Yugoiztochen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG344 - Стара Загора (Stara Zagora);null;BG34 - Югоизточен (Yugoiztochen);null;BG3 - СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ (SEVERNA I YUGOIZTOCHNA BULGARIA);;;
BG411 - София (столица) (Sofia (stolitsa));null;BG41 - Югозападен (Yugozapaden);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
BG412 - София (Sofia);null;BG41 - Югозападен (Yugozapaden);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
BG413 - Благоевград (Blagoevgrad);null;BG41 - Югозападен (Yugozapaden);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
BG414 - Перник (Pernik);null;BG41 - Югозападен (Yugozapaden);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
BG415 - Кюстендил (Kyustendil);null;BG41 - Югозападен (Yugozapaden);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
BG421 - Пловдив (Plovdiv);null;BG42 - Южен централен (Yuzhen tsentralen);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
BG422 - Хасково (Haskovo);null;BG42 - Южен централен (Yuzhen tsentralen);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
BG423 - Пазарджик (Pazardzhik);null;BG42 - Южен централен (Yuzhen tsentralen);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
BG424 - Смолян (Smolyan);null;BG42 - Южен централен (Yuzhen tsentralen);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
BG425 - Кърджали (Kardzhali);null;BG42 - Южен централен (Yuzhen tsentralen);null;BG4 - ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ (YUGOZAPADNA I YUZHNA TSENTRALNA BULGARIA);;;
