NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
CH011 - Vaud;null;CH01 - Région Lémanique;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH012 - Valais;null;CH01 - Région Lémanique;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH013 - Genève;null;CH01 - Région Lémanique;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH021 - Bern;null;CH02 - Espace Mittelland;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH022 - Freiburg;null;CH02 - Espace Mittelland;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH023 - Solothurn;null;CH02 - Espace Mittelland;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH024 - Neuchâtel;null;CH02 - Espace Mittelland;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH025 - Jura;null;CH02 - Espace Mittelland;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH031 - Basel-Stadt;null;CH03 - Nordwestschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH032 - Basel-Landschaft;null;CH03 - Nordwestschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH033 - Aargau;null;CH03 - Nordwestschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH040 - Zürich;null;CH04 - Zürich;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH051 - Glarus;null;CH05 - Ostschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH052 - Schaffhausen;null;CH05 - Ostschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH053 - Appenzell a. Rh.;null;CH05 - Ostschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH054 - Appenzell i. Rh.;null;CH05 - Ostschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH055 - St. Gallen;null;CH05 - Ostschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH056 - Graubünden;null;CH05 - Ostschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH057 - Thurgau;null;CH05 - Ostschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH061 - Luzern;null;CH06 - Zentralschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH062 - Uri;null;CH06 - Zentralschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH063 - Schwyz;null;CH06 - Zentralschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH064 - Obwalden;null;CH06 - Zentralschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH065 - Nidwalden;null;CH06 - Zentralschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH066 - Zug;null;CH06 - Zentralschweiz;null;CH0 - Schweiz/Suisse/Svizzera;;;
CH070 - Ticino;null;CH07 - Ticino;null;CH0 - Schweiz/Suisse/Svizzera;;;
