NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
SE110 - Stockholms län;null;SE11 - Stockholm;null;SE1 - ÖSTRA SVERIGE;;;
SE121 - Uppsala län;null;SE12 - Östra Mellansverige;null;SE1 - ÖSTRA SVERIGE;;;
SE122 - Södermanlands län;null;SE12 - Östra Mellansverige;null;SE1 - ÖSTRA SVERIGE;;;
SE123 - Östergötlands län;null;SE12 - Östra Mellansverige;null;SE1 - ÖSTRA SVERIGE;;;
SE124 - Örebro län;null;SE12 - Östra Mellansverige;null;SE1 - ÖSTRA SVERIGE;;;
SE125 - Västmanlands län;null;SE12 - Östra Mellansverige;null;SE1 - ÖSTRA SVERIGE;;;
SE211 - Jönköpings län;null;SE21 - Småland med öarna;null;SE2 - SÖDRA SVERIGE;;;
SE212 - Kronobergs län;null;SE21 - Småland med öarna;null;SE2 - SÖDRA SVERIGE;;;
SE213 - Kalmar län;null;SE21 - Småland med öarna;null;SE2 - SÖDRA SVERIGE;;;
SE214 - Gotlands län;null;SE21 - Småland med öarna;null;SE2 - SÖDRA SVERIGE;;;
SE221 - Blekinge län;null;SE22 - Sydsverige;null;SE2 - SÖDRA SVERIGE;;;
SE224 - Skåne län;null;SE22 - Sydsverige;null;SE2 - SÖDRA SVERIGE;;;
SE231 - Hallands län;null;SE23 - Västsverige;null;SE2 - SÖDRA SVERIGE;;;
SE232 - Västra Götalands län;null;SE23 - Västsverige;null;SE2 - SÖDRA SVERIGE;;;
SE311 - Värmlands län;null;SE31 - Norra Mellansverige;null;SE3 - NORRA SVERIGE;;;
SE312 - Dalarnas län;null;SE31 - Norra Mellansverige;null;SE3 - NORRA SVERIGE;;;
SE313 - Gävleborgs län;null;SE31 - Norra Mellansverige;null;SE3 - NORRA SVERIGE;;;
SE321 - Västernorrlands län;null;SE32 - Mellersta Norrland;null;SE3 - NORRA SVERIGE;;;
SE322 - Jämtlands län;null;SE32 - Mellersta Norrland;null;SE3 - NORRA SVERIGE;;;
SE331 - Västerbottens län;null;SE33 - Övre Norrland;null;SE3 - NORRA SVERIGE;;;
SE332 - Norrbottens län;null;SE33 - Övre Norrland;null;SE3 - NORRA SVERIGE;;;
