NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
HU101 - Budapest;null;HU10 - Közép-Magyarország;null;HU1 - KÖZÉP-MAGYARORSZÁG;;;
HU102 - Pest;null;HU10 - Közép-Magyarország;null;HU1 - KÖZÉP-MAGYARORSZÁG;;;
HU211 - Fejér;null;HU21 - Közép-Dunántúl;null;HU2 - DUNÁNTÚL;;;
HU212 - Komárom-Esztergom;null;HU21 - Közép-Dunántúl;null;HU2 - DUNÁNTÚL;;;
HU213 - Veszprém;null;HU21 - Közép-Dunántúl;null;HU2 - DUNÁNTÚL;;;
HU221 - Győr-Moson-Sopron;null;HU22 - Nyugat-Dunántúl;null;HU2 - DUNÁNTÚL;;;
HU222 - Vas;null;HU22 - Nyugat-Dunántúl;null;HU2 - DUNÁNTÚL;;;
HU223 - Zala;null;HU22 - Nyugat-Dunántúl;null;HU2 - DUNÁNTÚL;;;
HU231 - Baranya;null;HU23 - Dél-Dunántúl;null;HU2 - DUNÁNTÚL;;;
HU232 - Somogy;null;HU23 - Dél-Dunántúl;null;HU2 - DUNÁNTÚL;;;
HU233 - Tolna;null;HU23 - Dél-Dunántúl;null;HU2 - DUNÁNTÚL;;;
HU311 - Borsod-Abaúj-Zemplén;null;HU31 - Észak-Magyarország;null;HU3 - ALFÖLD ÉS ÉSZAK;;;
HU312 - Heves;null;HU31 - Észak-Magyarország;null;HU3 - ALFÖLD ÉS ÉSZAK;;;
HU313 - Nógrád;null;HU31 - Észak-Magyarország;null;HU3 - ALFÖLD ÉS ÉSZAK;;;
HU321 - Hajdú-Bihar;null;HU32 - Észak-Alföld;null;HU3 - ALFÖLD ÉS ÉSZAK;;;
HU322 - Jász-Nagykun-Szolnok;null;HU32 - Észak-Alföld;null;HU3 - ALFÖLD ÉS ÉSZAK;;;
HU323 - Szabolcs-Szatmár-Bereg;null;HU32 - Észak-Alföld;null;HU3 - ALFÖLD ÉS ÉSZAK;;;
HU331 - Bács-Kiskun;null;HU33 - Dél-Alföld;null;HU3 - ALFÖLD ÉS ÉSZAK;;;
HU332 - Békés;null;HU33 - Dél-Alföld;null;HU3 - ALFÖLD ÉS ÉSZAK;;;
HU333 - Csongrád;null;HU33 - Dél-Alföld;null;HU3 - ALFÖLD ÉS ÉSZAK;;;
