NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
HR031 - Primorsko-goranska županija;null;HR03 - Jadranska Hrvatska;null;HR0 - HRVATSKA;;;
HR032 - Ličko-senjska županija;null;HR03 - Jadranska Hrvatska;null;HR0 - HRVATSKA;;;
HR033 - Zadarska županija;null;HR03 - Jadranska Hrvatska;null;HR0 - HRVATSKA;;;
HR034 - Šibensko-kninska županija;null;HR03 - Jadranska Hrvatska;null;HR0 - HRVATSKA;;;
HR035 - Splitsko-dalmatinska županija;null;HR03 - Jadranska Hrvatska;null;HR0 - HRVATSKA;;;
HR036 - Istarska županija;null;HR03 - Jadranska Hrvatska;null;HR0 - HRVATSKA;;;
HR037 - Dubrovačko-neretvanska županija;null;HR03 - Jadranska Hrvatska;null;HR0 - HRVATSKA;;;
HR041 - Grad Zagreb;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR042 - Zagrebačka županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR043 - Krapinsko-zagorska županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR044 - Varaždinska županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR045 - Koprivničko-križevačka županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR046 - Međimurska županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR047 - Bjelovarsko-bilogorska županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR048 - Virovitičko-podravska županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR049 - Požeško-slavonska županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR04A - Brodsko-posavska županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR04B - Osječko-baranjska županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR04C - Vukovarsko-srijemska županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR04D - Karlovačka županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
HR04E - Sisačko-moslavačka županija;null;HR04 - Kontinentalna Hrvatska;null;HR0 - HRVATSKA;;;
