NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
NL111 - Oost-Groningen;null;NL11 - Groningen;null;NL1 - NOORD-NEDERLAND;;;
NL112 - Delfzijl en omgeving;null;NL11 - Groningen;null;NL1 - NOORD-NEDERLAND;;;
NL113 - Overig Groningen;null;NL11 - Groningen;null;NL1 - NOORD-NEDERLAND;;;
NL121 - Noord-Friesland;null;NL12 - Friesland (NL);null;NL1 - NOORD-NEDERLAND;;;
NL122 - Zuidwest-Friesland;null;NL12 - Friesland (NL);null;NL1 - NOORD-NEDERLAND;;;
NL123 - Zuidoost-Friesland;null;NL12 - Friesland (NL);null;NL1 - NOORD-NEDERLAND;;;
NL131 - Noord-Drenthe;null;NL13 - Drenthe;null;NL1 - NOORD-NEDERLAND;;;
NL132 - Zuidoost-Drenthe;null;NL13 - Drenthe;null;NL1 - NOORD-NEDERLAND;;;
NL133 - Zuidwest-Drenthe;null;NL13 - Drenthe;null;NL1 - NOORD-NEDERLAND;;;
NL211 - Noord-Overijssel;null;NL21 - Overijssel;null;NL2 - OOST-NEDERLAND;;;
NL212 - Zuidwest-Overijssel;null;NL21 - Overijssel;null;NL2 - OOST-NEDERLAND;;;
NL213 - Twente;null;NL21 - Overijssel;null;NL2 - OOST-NEDERLAND;;;
NL221 - Veluwe;null;NL22 - Gelderland;null;NL2 - OOST-NEDERLAND;;;
NL224 - Zuidwest-Gelderland;null;NL22 - Gelderland;null;NL2 - OOST-NEDERLAND;;;
NL225 - Achterhoek;null;NL22 - Gelderland;null;NL2 - OOST-NEDERLAND;;;
NL226 - Arnhem/Nijmegen;null;NL22 - Gelderland;null;NL2 - OOST-NEDERLAND;;;
NL230 - Flevoland;null;NL23 - Flevoland;null;NL2 - OOST-NEDERLAND;;;
NL310 - Utrecht;null;NL31 - Utrecht;null;NL3 - WEST-NEDERLAND;;;
NL321 - Kop van Noord-Holland;null;NL32 - Noord-Holland;null;NL3 - WEST-NEDERLAND;;;
NL322 - Alkmaar en omgeving;null;NL32 - Noord-Holland;null;NL3 - WEST-NEDERLAND;;;
NL323 - IJmond;null;NL32 - Noord-Holland;null;NL3 - WEST-NEDERLAND;;;
NL324 - Agglomeratie Haarlem;null;NL32 - Noord-Holland;null;NL3 - WEST-NEDERLAND;;;
NL325 - Zaanstreek;null;NL32 - Noord-Holland;null;NL3 - WEST-NEDERLAND;;;
NL326 - Groot-Amsterdam;null;NL32 - Noord-Holland;null;NL3 - WEST-NEDERLAND;;;
NL327 - Het Gooi en Vechtstreek;null;NL32 - Noord-Holland;null;NL3 - WEST-NEDERLAND;;;
NL332 - Agglomeratie 's-Gravenhage;null;NL33 - Zuid-Holland;null;NL3 - WEST-NEDERLAND;;;
NL333 - Delft en Westland;null;NL33 - Zuid-Holland;null;NL3 - WEST-NEDERLAND;;;
NL337 - Agglomeratie Leiden en Bollenstreek;null;NL33 - Zuid-Holland;null;NL3 - WEST-NEDERLAND;;;
NL338 - Oost-Zuid-Holland;null;NL33 - Zuid-Holland;null;NL3 - WEST-NEDERLAND;;;
NL339 - Groot-Rijnmond;null;NL33 - Zuid-Holland;null;NL3 - WEST-NEDERLAND;;;
NL33A - Zuidoost-Zuid-Holland;null;NL33 - Zuid-Holland;null;NL3 - WEST-NEDERLAND;;;
NL341 - Zeeuwsch-Vlaanderen;null;NL34 - Zeeland;null;NL3 - WEST-NEDERLAND;;;
NL342 - Overig Zeeland;null;NL34 - Zeeland;null;NL3 - WEST-NEDERLAND;;;
NL411 - West-Noord-Brabant;null;NL41 - Noord-Brabant;null;NL4 - ZUID-NEDERLAND;;;
NL412 - Midden-Noord-Brabant;null;NL41 - Noord-Brabant;null;NL4 - ZUID-NEDERLAND;;;
NL413 - Noordoost-Noord-Brabant;null;NL41 - Noord-Brabant;null;NL4 - ZUID-NEDERLAND;;;
NL414 - Zuidoost-Noord-Brabant;null;NL41 - Noord-Brabant;null;NL4 - ZUID-NEDERLAND;;;
NL421 - Noord-Limburg;null;NL42 - Limburg (NL);null;NL4 - ZUID-NEDERLAND;;;
NL422 - Midden-Limburg;null;NL42 - Limburg (NL);null;NL4 - ZUID-NEDERLAND;;;
NL423 - Zuid-Limburg;null;NL42 - Limburg (NL);null;NL4 - ZUID-NEDERLAND;;;
