NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
NO011 - Oslo;null;NO01 - Oslo Og Akershus;null;NO0 - Norge;;;
NO012 - Akershus;null;NO01 - Oslo Og Akershus;null;NO0 - Norge;;;
NO021 - Hedmark;null;NO02 - Hedmark Og Oppland;null;NO0 - Norge;;;
NO022 - Oppland;null;NO02 - Hedmark Og Oppland;null;NO0 - Norge;;;
NO031 - Østfold;null;NO03 - Sør-Østlandet;null;NO0 - Norge;;;
NO032 - Buskerud;null;NO03 - Sør-Østlandet;null;NO0 - Norge;;;
NO033 - Vestfold;null;NO03 - Sør-Østlandet;null;NO0 - Norge;;;
NO034 - Telemark;null;NO03 - Sør-Østlandet;null;NO0 - Norge;;;
NO041 - Aust-Agder;null;NO04 - Agder Og Rogaland;null;NO0 - Norge;;;
NO042 - Vest-Agder;null;NO04 - Agder Og Rogaland;null;NO0 - Norge;;;
NO043 - Rogaland;null;NO04 - Agder Og Rogaland;null;NO0 - Norge;;;
NO051 - Hordaland;null;NO05 - Vestlandet;null;NO0 - Norge;;;
NO052 - Sogn Og Fjordane;null;NO05 - Vestlandet;null;NO0 - Norge;;;
NO053 - Møre Og Romsdal;null;NO05 - Vestlandet;null;NO0 - Norge;;;
NO061 - Sør-Trøndelag;null;NO06 - Trøndelag;null;NO0 - Norge;;;
NO062 - Nord-Trøndelag;null;NO06 - Trøndelag;null;NO0 - Norge;;;
NO071 - Nordland;null;NO07 - Nord-Norge;null;NO0 - Norge;;;
NO072 - Troms;null;NO07 - Nord-Norge;null;NO0 - Norge;;;
NO073 - Finnmark;null;NO07 - Nord-Norge;null;NO0 - Norge;;;
