NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
FI193 - Keski-Suomi;null;FI19 - Länsi-Suomi;null;FI1 - MANNER-SUOMI;;;
FI194 - Etelä-Pohjanmaa;null;FI19 - Länsi-Suomi;null;FI1 - MANNER-SUOMI;;;
FI195 - Pohjanmaa;null;FI19 - Länsi-Suomi;null;FI1 - MANNER-SUOMI;;;
FI196 - Satakunta;null;FI19 - Länsi-Suomi;null;FI1 - MANNER-SUOMI;;;
FI197 - Pirkanmaa;null;FI19 - Länsi-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1B1 - Helsinki-Uusimaa;null;FI1B - Helsinki-Uusimaa;null;FI1 - MANNER-SUOMI;;;
FI1C1 - Varsinais-Suomi;null;FI1C - Etelä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1C2 - Kanta-Häme;null;FI1C - Etelä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1C3 - Päijät-Häme;null;FI1C - Etelä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1C4 - Kymenlaakso;null;FI1C - Etelä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1C5 - Etelä-Karjala;null;FI1C - Etelä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1D1 - Etelä-Savo;null;FI1D - Pohjois- ja Itä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1D2 - Pohjois-Savo;null;FI1D - Pohjois- ja Itä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1D3 - Pohjois-Karjala;null;FI1D - Pohjois- ja Itä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1D4 - Kainuu;null;FI1D - Pohjois- ja Itä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1D5 - Keski-Pohjanmaa;null;FI1D - Pohjois- ja Itä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1D6 - Pohjois-Pohjanmaa;null;FI1D - Pohjois- ja Itä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI1D7 - Lappi;null;FI1D - Pohjois- ja Itä-Suomi;null;FI1 - MANNER-SUOMI;;;
FI200 - Åland;null;FI20 - Åland;null;FI2 - ÅLAND;;;
