NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
DE111 - Stuttgart, Stadtkreis;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE112 - Böblingen;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE113 - Esslingen;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE114 - Göppingen;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE115 - Ludwigsburg;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE116 - Rems-Murr-Kreis;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE117 - Heilbronn, Stadtkreis;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE118 - Heilbronn, Landkreis;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE119 - Hohenlohekreis;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE11A - Schwäbisch Hall;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE11B - Main-Tauber-Kreis;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE11C - Heidenheim;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE11D - Ostalbkreis;null;DE11 - Stuttgart;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE121 - Baden-Baden, Stadtkreis;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE122 - Karlsruhe, Stadtkreis;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE123 - Karlsruhe, Landkreis;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE124 - Rastatt;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE125 - Heidelberg, Stadtkreis;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE126 - Mannheim, Stadtkreis;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE127 - Neckar-Odenwald-Kreis;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE128 - Rhein-Neckar-Kreis;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE129 - Pforzheim, Stadtkreis;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE12A - Calw;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE12B - Enzkreis;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE12C - Freudenstadt;null;DE12 - Karlsruhe;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE131 - Freiburg im Breisgau, Stadtkreis;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE132 - Breisgau-Hochschwarzwald;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE133 - Emmendingen;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE134 - Ortenaukreis;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE135 - Rottweil;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE136 - Schwarzwald-Baar-Kreis;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE137 - Tuttlingen;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE138 - Konstanz;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE139 - Lörrach;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE13A - Waldshut;null;DE13 - Freiburg;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE141 - Reutlingen;null;DE14 - Tübingen;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE142 - Tübingen, Landkreis;null;DE14 - Tübingen;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE143 - Zollernalbkreis;null;DE14 - Tübingen;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE144 - Ulm, Stadtkreis;null;DE14 - Tübingen;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE145 - Alb-Donau-Kreis;null;DE14 - Tübingen;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE146 - Biberach;null;DE14 - Tübingen;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE147 - Bodenseekreis;null;DE14 - Tübingen;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE148 - Ravensburg;null;DE14 - Tübingen;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE149 - Sigmaringen;null;DE14 - Tübingen;null;DE1 - BADEN-WÜRTTEMBERG;;;
DE211 - Ingolstadt, Kreisfreie Stadt;null;DE21 - Oberbayern;null;DE2 - BAYERN;;;
DE212 - München, Kreisfreie Stadt;null;DE21 - Oberbayern;null;DE2 - BAYERN;;;
DE213 - Rosenheim, Kreisfreie Stadt;null;DE21 - Oberbayern;null;DE2 - BAYERN;;;
DE214 - Altötting;null;DE21 - Oberbayern;null;DE2 - BAYERN;;;
DE215 - Berchtesgadener Land;null;DE21 - Oberbayern;null;DE2 - BAYERN;;;
DE216 - Bad Tölz-Wolfratshausen;null;DE21 - Oberbayern;null;DE2 - BAYERN;;;
