NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
LT001 - Alytaus apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
LT002 - Kauno apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
LT003 - Klaipėdos apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
LT004 - Marijampolės apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
LT005 - Panevėžio apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
LT006 - Šiaulių apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
LT007 - Tauragės apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
LT008 - Telšių apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
LT009 - Utenos apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
LT00A - Vilniaus apskritis;null;LT00 - Lietuva;null;LT0 - LIETUVA;;;
