NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
AT111 - Mittelburgenland;null;AT11 - Burgenland (AT);null;AT1 - OSTÖSTERREICH;;;
AT112 - Nordburgenland;null;AT11 - Burgenland (AT);null;AT1 - OSTÖSTERREICH;;;
AT113 - Südburgenland;null;AT11 - Burgenland (AT);null;AT1 - OSTÖSTERREICH;;;
AT121 - Mostviertel-Eisenwurzen;null;AT12 - Niederösterreich;null;AT1 - OSTÖSTERREICH;;;
AT122 - Niederösterreich-Süd;null;AT12 - Niederösterreich;null;AT1 - OSTÖSTERREICH;;;
AT123 - Sankt Pölten;null;AT12 - Niederösterreich;null;AT1 - OSTÖSTERREICH;;;
AT124 - Waldviertel;null;AT12 - Niederösterreich;null;AT1 - OSTÖSTERREICH;;;
AT125 - Weinviertel;null;AT12 - Niederösterreich;null;AT1 - OSTÖSTERREICH;;;
AT126 - Wiener Umland/Nordteil;null;AT12 - Niederösterreich;null;AT1 - OSTÖSTERREICH;;;
AT127 - Wiener Umland/Südteil;null;AT12 - Niederösterreich;null;AT1 - OSTÖSTERREICH;;;
AT130 - Wien;null;AT13 - Wien;null;AT1 - OSTÖSTERREICH;;;
AT211 - Klagenfurt-Villach;null;AT21 - Kärnten;null;AT2 - SÜDÖSTERREICH;;;
AT212 - Oberkärnten;null;AT21 - Kärnten;null;AT2 - SÜDÖSTERREICH;;;
AT213 - Unterkärnten;null;AT21 - Kärnten;null;AT2 - SÜDÖSTERREICH;;;
AT221 - Graz;null;AT22 - Steiermark;null;AT2 - SÜDÖSTERREICH;;;
AT222 - Liezen;null;AT22 - Steiermark;null;AT2 - SÜDÖSTERREICH;;;
AT223 - Östliche Obersteiermark;null;AT22 - Steiermark;null;AT2 - SÜDÖSTERREICH;;;
AT224 - Oststeiermark;null;AT22 - Steiermark;null;AT2 - SÜDÖSTERREICH;;;
AT225 - West- und Südsteiermark;null;AT22 - Steiermark;null;AT2 - SÜDÖSTERREICH;;;
AT226 - Westliche Obersteiermark;null;AT22 - Steiermark;null;AT2 - SÜDÖSTERREICH;;;
AT311 - Innviertel;null;AT31 - Oberösterreich;null;AT3 - WESTÖSTERREICH;;;
AT312 - Linz-Wels;null;AT31 - Oberösterreich;null;AT3 - WESTÖSTERREICH;;;
AT313 - Mühlviertel;null;AT31 - Oberösterreich;null;AT3 - WESTÖSTERREICH;;;
AT314 - Steyr-Kirchdorf;null;AT31 - Oberösterreich;null;AT3 - WESTÖSTERREICH;;;
AT315 - Traunviertel;null;AT31 - Oberösterreich;null;AT3 - WESTÖSTERREICH;;;
AT321 - Lungau;null;AT32 - Salzburg;null;AT3 - WESTÖSTERREICH;;;
AT322 - Pinzgau-Pongau;null;AT32 - Salzburg;null;AT3 - WESTÖSTERREICH;;;
AT323 - Salzburg und Umgebung;null;AT32 - Salzburg;null;AT3 - WESTÖSTERREICH;;;
AT331 - Außerfern;null;AT33 - Tirol;null;AT3 - WESTÖSTERREICH;;;
AT332 - Innsbruck;null;AT33 - Tirol;null;AT3 - WESTÖSTERREICH;;;
AT333 - Osttirol;null;AT33 - Tirol;null;AT3 - WESTÖSTERREICH;;;
AT334 - Tiroler Oberland;null;AT33 - Tirol;null;AT3 - WESTÖSTERREICH;;;
AT335 - Tiroler Unterland;null;AT33 - Tirol;null;AT3 - WESTÖSTERREICH;;;
AT341 - Bludenz-Bregenzer Wald;null;AT34 - Vorarlberg;null;AT3 - WESTÖSTERREICH;;;
AT342 - Rheintal-Bodenseegebiet;null;AT34 - Vorarlberg;null;AT3 - WESTÖSTERREICH;;;
