NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
TR100 - Istanbul;null;TR10 - Istanbul;null;TR1 - Istanbul;;;
TR211 - Tekirdag;null;TR21 - Tekirdag, Edirne, Kirklareli;null;TR2 - Bati Marmara;;;
TR212 - Edirne;null;TR21 - Tekirdag, Edirne, Kirklareli;null;TR2 - Bati Marmara;;;
TR213 - Kirklareli;null;TR21 - Tekirdag, Edirne, Kirklareli;null;TR2 - Bati Marmara;;;
TR221 - Balikesir;null;TR22 - Balikesir, Çanakkale;null;TR2 - Bati Marmara;;;
TR222 - Çanakkale;null;TR22 - Balikesir, Çanakkale;null;TR2 - Bati Marmara;;;
TR310 - Izmir;null;TR31 - Izmir;null;TR3 - Ege;;;
TR321 - Aydin;null;TR32 - Aydin, Denizli, Mugla;null;TR3 - Ege;;;
TR322 - Denizli;null;TR32 - Aydin, Denizli, Mugla;null;TR3 - Ege;;;
TR323 - Mugla;null;TR32 - Aydin, Denizli, Mugla;null;TR3 - Ege;;;
TR331 - Manisa;null;TR33 - Manisa, Afyonkarahisar, Kütahya, Usak;null;TR3 - Ege;;;
TR332 - Afyon;null;TR33 - Manisa, Afyonkarahisar, Kütahya, Usak;null;TR3 - Ege;;;
TR333 - Kütahya;null;TR33 - Manisa, Afyonkarahisar, Kütahya, Usak;null;TR3 - Ege;;;
TR334 - Usak;null;TR33 - Manisa, Afyonkarahisar, Kütahya, Usak;null;TR3 - Ege;;;
TR411 - Bursa;null;TR41 - Bursa, Eskisehir, Bilecik;null;TR4 - Dogu Marmara;;;
TR412 - Eskisehir;null;TR41 - Bursa, Eskisehir, Bilecik;null;TR4 - Dogu Marmara;;;
TR413 - Bilecik;null;TR41 - Bursa, Eskisehir, Bilecik;null;TR4 - Dogu Marmara;;;
TR421 - Kocaeli;null;TR42 - Kocaeli, Sakarya, Düzce, Bolu, Yalova;null;TR4 - Dogu Marmara;;;
TR422 - Sakarya;null;TR42 - Kocaeli, Sakarya, Düzce, Bolu, Yalova;null;TR4 - Dogu Marmara;;;
TR423 - Düzce;null;TR42 - Kocaeli, Sakarya, Düzce, Bolu, Yalova;null;TR4 - Dogu Marmara;;;
TR424 - Bolu;null;TR42 - Kocaeli, Sakarya, Düzce, Bolu, Yalova;null;TR4 - Dogu Marmara;;;
TR425 - Yalova;null;TR42 - Kocaeli, Sakarya, Düzce, Bolu, Yalova;null;TR4 - Dogu Marmara;;;
TR510 - Ankara;null;TR51 - Ankara;null;TR5 - Bati Anadolu;;;
TR521 - Konya;null;TR52 - Konya, Karaman;null;TR5 - Bati Anadolu;;;
TR522 - Karaman;null;TR52 - Konya, Karaman;null;TR5 - Bati Anadolu;;;
TR611 - Antalya;null;TR61 - Antalya, Isparta, Burdur;null;TR6 - Akdeniz;;;
TR612 - Isparta;null;TR61 - Antalya, Isparta, Burdur;null;TR6 - Akdeniz;;;
TR613 - Burdur;null;TR61 - Antalya, Isparta, Burdur;null;TR6 - Akdeniz;;;
TR621 - Adana;null;TR62 - Adana, Mersin;null;TR6 - Akdeniz;;;
TR622 - Içel;null;TR62 - Adana, Mersin;null;TR6 - Akdeniz;;;
TR631 - Hatay;null;TR63 - Hatay, Kahramanmaras, Osmaniye;null;TR6 - Akdeniz;;;
TR632 - Kahramanmaras;null;TR63 - Hatay, Kahramanmaras, Osmaniye;null;TR6 - Akdeniz;;;
TR633 - Osmaniye;null;TR63 - Hatay, Kahramanmaras, Osmaniye;null;TR6 - Akdeniz;;;
TR711 - Kirikkale;null;TR71 - Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir;null;TR7 - Orta Anadolu;;;
TR712 - Aksaray;null;TR71 - Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir;null;TR7 - Orta Anadolu;;;
TR713 - Nigde;null;TR71 - Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir;null;TR7 - Orta Anadolu;;;
TR714 - Nevsehir;null;TR71 - Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir;null;TR7 - Orta Anadolu;;;
TR715 - Kirsehir;null;TR71 - Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir;null;TR7 - Orta Anadolu;;;
TR721 - Kayseri;null;TR72 - Kayseri, Sivas, Yozgat;null;TR7 - Orta Anadolu;;;
TR722 - Sivas;null;TR72 - Kayseri, Sivas, Yozgat;null;TR7 - Orta Anadolu;;;
TR723 - Yozgat;null;TR72 - Kayseri, Sivas, Yozgat;null;TR7 - Orta Anadolu;;;
TR811 - Zonguldak;null;TR81 - Zonguldak, Karabük, Bartin;null;TR8 - Bati Karadeniz;;;
TR812 - Karabük;null;TR81 - Zonguldak, Karabük, Bartin;null;TR8 - Bati Karadeniz;;;
TR813 - Bartin;null;TR81 - Zonguldak, Karabük, Bartin;null;TR8 - Bati Karadeniz;;;
TR821 - Kastamonu;null;TR82 - Kastamonu, Çankiri, Sinop;null;TR8 - Bati Karadeniz;;;
TR822 - Çankiri;null;TR82 - Kastamonu, Çankiri, Sinop;null;TR8 - Bati Karadeniz;;;
TR823 - Sinop;null;TR82 - Kastamonu, Çankiri, Sinop;null;TR8 - Bati Karadeniz;;;
TR831 - Samsun;null;TR83 - Samsun, Tokat, Çorum, Amasya;null;TR8 - Bati Karadeniz;;;
TR832 - Tokat;null;TR83 - Samsun, Tokat, Çorum, Amasya;null;TR8 - Bati Karadeniz;;;
TR833 - Çorum;null;TR83 - Samsun, Tokat, Çorum, Amasya;null;TR8 - Bati Karadeniz;;;
