NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
PL113 - Miasto Łódź;null;PL11 - Łódzkie;null;PL1 - REGION CENTRALNY;;;
PL114 - Łódzki;null;PL11 - Łódzkie;null;PL1 - REGION CENTRALNY;;;
PL115 - Piotrkowski;null;PL11 - Łódzkie;null;PL1 - REGION CENTRALNY;;;
PL116 - Sieradzki;null;PL11 - Łódzkie;null;PL1 - REGION CENTRALNY;;;
PL117 - Skierniewicki;null;PL11 - Łódzkie;null;PL1 - REGION CENTRALNY;;;
PL127 - Miasto Warszawa;null;PL12 - Mazowieckie;null;PL1 - REGION CENTRALNY;;;
PL128 - Radomski;null;PL12 - Mazowieckie;null;PL1 - REGION CENTRALNY;;;
PL129 - Warszawski wschodni;null;PL12 - Mazowieckie;null;PL1 - REGION CENTRALNY;;;
PL12A - Warszawski zachodni;null;PL12 - Mazowieckie;null;PL1 - REGION CENTRALNY;;;
PL12B - Ciechanowski;null;PL12 - Mazowieckie;null;PL1 - REGION CENTRALNY;;;
PL12C - Płocki;null;PL12 - Mazowieckie;null;PL1 - REGION CENTRALNY;;;
PL12D - Ostrołęcki;null;PL12 - Mazowieckie;null;PL1 - REGION CENTRALNY;;;
PL12E - Siedlecki;null;PL12 - Mazowieckie;null;PL1 - REGION CENTRALNY;;;
PL213 - Miasto Kraków;null;PL21 - Małopolskie;null;PL2 - REGION POŁUDNIOWY;;;
PL214 - Krakowski;null;PL21 - Małopolskie;null;PL2 - REGION POŁUDNIOWY;;;
PL217 - Tarnowski;null;PL21 - Małopolskie;null;PL2 - REGION POŁUDNIOWY;;;
PL218 - Nowosądecki;null;PL21 - Małopolskie;null;PL2 - REGION POŁUDNIOWY;;;
PL219 - Nowotarski;null;PL21 - Małopolskie;null;PL2 - REGION POŁUDNIOWY;;;
PL21A - Oświęcimski;null;PL21 - Małopolskie;null;PL2 - REGION POŁUDNIOWY;;;
PL224 - Częstochowski;null;PL22 - Śląskie;null;PL2 - REGION POŁUDNIOWY;;;
PL225 - Bielski;null;PL22 - Śląskie;null;PL2 - REGION POŁUDNIOWY;;;
PL227 - Rybnicki;null;PL22 - Śląskie;null;PL2 - REGION POŁUDNIOWY;;;
PL228 - Bytomski;null;PL22 - Śląskie;null;PL2 - REGION POŁUDNIOWY;;;
PL229 - Gliwicki;null;PL22 - Śląskie;null;PL2 - REGION POŁUDNIOWY;;;
PL22A - Katowicki;null;PL22 - Śląskie;null;PL2 - REGION POŁUDNIOWY;;;
PL22B - Sosnowiecki;null;PL22 - Śląskie;null;PL2 - REGION POŁUDNIOWY;;;
PL22C - Tyski;null;PL22 - Śląskie;null;PL2 - REGION POŁUDNIOWY;;;
PL311 - Bialski;null;PL31 - Lubelskie;null;PL3 - REGION WSCHODNI;;;
PL312 - Chełmsko-zamojski;null;PL31 - Lubelskie;null;PL3 - REGION WSCHODNI;;;
PL314 - Lubelski;null;PL31 - Lubelskie;null;PL3 - REGION WSCHODNI;;;
PL315 - Puławski;null;PL31 - Lubelskie;null;PL3 - REGION WSCHODNI;;;
PL323 - Krośnieński;null;PL32 - Podkarpackie;null;PL3 - REGION WSCHODNI;;;
PL324 - Przemyski;null;PL32 - Podkarpackie;null;PL3 - REGION WSCHODNI;;;
PL325 - Rzeszowski;null;PL32 - Podkarpackie;null;PL3 - REGION WSCHODNI;;;
PL326 - Tarnobrzeski;null;PL32 - Podkarpackie;null;PL3 - REGION WSCHODNI;;;
PL331 - Kielecki;null;PL33 - Świętokrzyskie;null;PL3 - REGION WSCHODNI;;;
PL332 - Sandomiersko-jędrzejowski;null;PL33 - Świętokrzyskie;null;PL3 - REGION WSCHODNI;;;
PL343 - Białostocki;null;PL34 - Podlaskie;null;PL3 - REGION WSCHODNI;;;
PL344 - Łomżyński;null;PL34 - Podlaskie;null;PL3 - REGION WSCHODNI;;;
PL345 - Suwalski;null;PL34 - Podlaskie;null;PL3 - REGION WSCHODNI;;;
PL411 - Pilski;null;PL41 - Wielkopolskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
PL414 - Koniński;null;PL41 - Wielkopolskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
PL415 - Miasto Poznań;null;PL41 - Wielkopolskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
PL416 - Kaliski;null;PL41 - Wielkopolskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
PL417 - Leszczyński;null;PL41 - Wielkopolskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
PL418 - Poznański;null;PL41 - Wielkopolskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
PL424 - Miasto Szczecin;null;PL42 - Zachodniopomorskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
PL426 - Koszaliński;null;PL42 - Zachodniopomorskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
PL427 - Szczecinecko-pyrzycki;null;PL42 - Zachodniopomorskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
PL428 - Szczeciński;null;PL42 - Zachodniopomorskie;null;PL4 - REGION PÓŁNOCNO-ZACHODNI;;;
