NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
DK011 - Byen København;null;DK01 - Hovedstaden;null;DK0 - DANMARK;;;
DK012 - Københavns omegn;null;DK01 - Hovedstaden;null;DK0 - DANMARK;;;
DK013 - Nordsjælland;null;DK01 - Hovedstaden;null;DK0 - DANMARK;;;
DK014 - Bornholm;null;DK01 - Hovedstaden;null;DK0 - DANMARK;;;
DK021 - Østsjælland;null;DK02 - Sjælland;null;DK0 - DANMARK;;;
DK022 - Vest- og Sydsjælland;null;DK02 - Sjælland;null;DK0 - DANMARK;;;
DK031 - Fyn;null;DK03 - Syddanmark;null;DK0 - DANMARK;;;
DK032 - Sydjylland;null;DK03 - Syddanmark;null;DK0 - DANMARK;;;
DK041 - Vestjylland;null;DK04 - Midtjylland;null;DK0 - DANMARK;;;
DK042 - Østjylland;null;DK04 - Midtjylland;null;DK0 - DANMARK;;;
DK050 - Nordjylland;null;DK05 - Nordjylland;null;DK0 - DANMARK;;;
