NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
BE100 - Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad;null;BE10 - Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest;null;BE1 - RÉGION DE BRUXELLES-CAPITALE / BRUSSELS HOOFDSTEDELIJK GEWEST;;;
BE211 - Arr. Antwerpen;null;BE21 - Prov. Antwerpen;null;BE2 - VLAAMS GEWEST;;;
BE212 - Arr. Mechelen;null;BE21 - Prov. Antwerpen;null;BE2 - VLAAMS GEWEST;;;
BE213 - Arr. Turnhout;null;BE21 - Prov. Antwerpen;null;BE2 - VLAAMS GEWEST;;;
BE221 - Arr. Hasselt;null;BE22 - Prov. Limburg (BE);null;BE2 - VLAAMS GEWEST;;;
BE222 - Arr. Maaseik;null;BE22 - Prov. Limburg (BE);null;BE2 - VLAAMS GEWEST;;;
BE223 - Arr. Tongeren;null;BE22 - Prov. Limburg (BE);null;BE2 - VLAAMS GEWEST;;;
BE231 - Arr. Aalst;null;BE23 - Prov. Oost-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE232 - Arr. Dendermonde;null;BE23 - Prov. Oost-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE233 - Arr. Eeklo;null;BE23 - Prov. Oost-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE234 - Arr. Gent;null;BE23 - Prov. Oost-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE235 - Arr. Oudenaarde;null;BE23 - Prov. Oost-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE236 - Arr. Sint-Niklaas;null;BE23 - Prov. Oost-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE241 - Arr. Halle-Vilvoorde;null;BE24 - Prov. Vlaams-Brabant;null;BE2 - VLAAMS GEWEST;;;
BE242 - Arr. Leuven;null;BE24 - Prov. Vlaams-Brabant;null;BE2 - VLAAMS GEWEST;;;
BE251 - Arr. Brugge;null;BE25 - Prov. West-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE252 - Arr. Diksmuide;null;BE25 - Prov. West-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE253 - Arr. Ieper;null;BE25 - Prov. West-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE254 - Arr. Kortrijk;null;BE25 - Prov. West-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE255 - Arr. Oostende;null;BE25 - Prov. West-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE256 - Arr. Roeselare;null;BE25 - Prov. West-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE257 - Arr. Tielt;null;BE25 - Prov. West-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE258 - Arr. Veurne;null;BE25 - Prov. West-Vlaanderen;null;BE2 - VLAAMS GEWEST;;;
BE310 - Arr. Nivelles;null;BE31 - Prov. Brabant Wallon;null;BE3 - RÉGION WALLONNE;;;
BE321 - Arr. Ath;null;BE32 - Prov. Hainaut;null;BE3 - RÉGION WALLONNE;;;
BE322 - Arr. Charleroi;null;BE32 - Prov. Hainaut;null;BE3 - RÉGION WALLONNE;;;
BE323 - Arr. Mons;null;BE32 - Prov. Hainaut;null;BE3 - RÉGION WALLONNE;;;
BE324 - Arr. Mouscron;null;BE32 - Prov. Hainaut;null;BE3 - RÉGION WALLONNE;;;
BE325 - Arr. Soignies;null;BE32 - Prov. Hainaut;null;BE3 - RÉGION WALLONNE;;;
BE326 - Arr. Thuin;null;BE32 - Prov. Hainaut;null;BE3 - RÉGION WALLONNE;;;
BE327 - Arr. Tournai;null;BE32 - Prov. Hainaut;null;BE3 - RÉGION WALLONNE;;;
BE331 - Arr. Huy;null;BE33 - Prov. Liège;null;BE3 - RÉGION WALLONNE;;;
BE332 - Arr. Liège;null;BE33 - Prov. Liège;null;BE3 - RÉGION WALLONNE;;;
BE334 - Arr. Waremme;null;BE33 - Prov. Liège;null;BE3 - RÉGION WALLONNE;;;
BE335 - Arr. Verviers - communes francophones;null;BE33 - Prov. Liège;null;BE3 - RÉGION WALLONNE;;;
BE336 - Bezirk Verviers - Deutschsprachige Gemeinschaft;null;BE33 - Prov. Liège;null;BE3 - RÉGION WALLONNE;;;
BE341 - Arr. Arlon;null;BE34 - Prov. Luxembourg (BE);null;BE3 - RÉGION WALLONNE;;;
BE342 - Arr. Bastogne;null;BE34 - Prov. Luxembourg (BE);null;BE3 - RÉGION WALLONNE;;;
BE343 - Arr. Marche-en-Famenne;null;BE34 - Prov. Luxembourg (BE);null;BE3 - RÉGION WALLONNE;;;
BE344 - Arr. Neufchâteau;null;BE34 - Prov. Luxembourg (BE);null;BE3 - RÉGION WALLONNE;;;
BE345 - Arr. Virton;null;BE34 - Prov. Luxembourg (BE);null;BE3 - RÉGION WALLONNE;;;
BE351 - Arr. Dinant;null;BE35 - Prov. Namur;null;BE3 - RÉGION WALLONNE;;;
BE352 - Arr. Namur;null;BE35 - Prov. Namur;null;BE3 - RÉGION WALLONNE;;;
BE353 - Arr. Philippeville;null;BE35 - Prov. Namur;null;BE3 - RÉGION WALLONNE;;;
