NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
SI031 - Pomurska;null;SI03 - Vzhodna Slovenija;null;SI0 - SLOVENIJA;;;
SI032 - Podravska;null;SI03 - Vzhodna Slovenija;null;SI0 - SLOVENIJA;;;
SI033 - Koroška;null;SI03 - Vzhodna Slovenija;null;SI0 - SLOVENIJA;;;
SI034 - Savinjska;null;SI03 - Vzhodna Slovenija;null;SI0 - SLOVENIJA;;;
SI035 - Zasavska;null;SI03 - Vzhodna Slovenija;null;SI0 - SLOVENIJA;;;
SI036 - Posavska;null;SI03 - Vzhodna Slovenija;null;SI0 - SLOVENIJA;;;
SI037 - Jugovzhodna Slovenija;null;SI03 - Vzhodna Slovenija;null;SI0 - SLOVENIJA;;;
SI038 - Primorsko-notranjska;null;SI03 - Vzhodna Slovenija;null;SI0 - SLOVENIJA;;;
SI041 - Osrednjeslovenska;null;SI04 - Zahodna Slovenija;null;SI0 - SLOVENIJA;;;
SI042 - Gorenjska;null;SI04 - Zahodna Slovenija;null;SI0 - SLOVENIJA;;;
SI043 - Goriška;null;SI04 - Zahodna Slovenija;null;SI0 - SLOVENIJA;;;
SI044 - Obalno-kraška;null;SI04 - Zahodna Slovenija;null;SI0 - SLOVENIJA;;;
