NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
CZ010 - Hlavní město Praha;null;CZ01 - Praha;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ020 - Středočeský kraj;null;CZ02 - Střední Čechy;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ031 - Jihočeský kraj;null;CZ03 - Jihozápad;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ032 - Plzeňský kraj;null;CZ03 - Jihozápad;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ041 - Karlovarský kraj;null;CZ04 - Severozápad;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ042 - Ústecký kraj;null;CZ04 - Severozápad;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ051 - Liberecký kraj;null;CZ05 - Severovýchod;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ052 - Královéhradecký kraj;null;CZ05 - Severovýchod;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ053 - Pardubický kraj;null;CZ05 - Severovýchod;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ063 - Kraj Vysočina;null;CZ06 - Jihovýchod;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ064 - Jihomoravský kraj;null;CZ06 - Jihovýchod;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ071 - Olomoucký kraj;null;CZ07 - Střední Morava;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ072 - Zlínský kraj;null;CZ07 - Střední Morava;null;CZ0 - ČESKÁ REPUBLIKA;;;
CZ080 - Moravskoslezský kraj;null;CZ08 - Moravskoslezsko;null;CZ0 - ČESKÁ REPUBLIKA;;;
