NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
EL301 - Βόρειος Τομέας Αθηνών (Voreios Tomeas Athinon);null;EL30 - Aττική (Attiki);null;EL3 - ATTIKΗ (ATTIKI);;;
EL302 - Δυτικός Τομέας Αθηνών (Dytikos Tomeas Athinon);null;EL30 - Aττική (Attiki);null;EL3 - ATTIKΗ (ATTIKI);;;
EL303 - Κεντρικός Τομέας Αθηνών (Kentrikos Tomeas Athinon);null;EL30 - Aττική (Attiki);null;EL3 - ATTIKΗ (ATTIKI);;;
EL304 - Νότιος Τομέας Αθηνών (Notios Tomeas Athinon);null;EL30 - Aττική (Attiki);null;EL3 - ATTIKΗ (ATTIKI);;;
EL305 - Ανατολική Αττική (Anatoliki Attiki);null;EL30 - Aττική (Attiki);null;EL3 - ATTIKΗ (ATTIKI);;;
EL306 - Δυτική Αττική (Dytiki Attiki);null;EL30 - Aττική (Attiki);null;EL3 - ATTIKΗ (ATTIKI);;;
EL307 - Πειραιάς, Νήσοι (Peiraias, Nisoi);null;EL30 - Aττική (Attiki);null;EL3 - ATTIKΗ (ATTIKI);;;
EL411 - Λέσβος, Λήμνος (Lesvos, Limnos);null;EL41 - Βόρειο Αιγαίο (Voreio Aigaio);null;EL4 - NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI);;;
EL412 - Ικαρία, Σάμος (Ikaria, Samos);null;EL41 - Βόρειο Αιγαίο (Voreio Aigaio);null;EL4 - NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI);;;
EL413 - Χίος (Chios);null;EL41 - Βόρειο Αιγαίο (Voreio Aigaio);null;EL4 - NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI);;;
EL421 - Κάλυμνος, Κάρπαθος, Κως, Ρόδος (Kalymnos, Karpathos, Kos, Rodos);null;EL42 - Νότιο Αιγαίο (Notio Aigaio);null;EL4 - NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI);;;
EL422 - Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος (Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros,  Syros, Tinos);null;EL42 - Νότιο Αιγαίο (Notio Aigaio);null;EL4 - NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI);;;
EL431 - Ηράκλειο (Irakleio);null;EL43 - Κρήτη (Kriti);null;EL4 - NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI);;;
EL432 - Λασίθι (Lasithi);null;EL43 - Κρήτη (Kriti);null;EL4 - NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI);;;
EL433 - Ρεθύμνη (Rethymni);null;EL43 - Κρήτη (Kriti);null;EL4 - NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI);;;
EL434 - Χανιά (Chania);null;EL43 - Κρήτη (Kriti);null;EL4 - NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI);;;
EL511 - Έβρος (Evros);null;EL51 - Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki);null;EL5 - ΒΟΡΕΙΑ ΕΛΛΑΔΑ (VOREIA ELLADA);;;
EL512 - Ξάνθη (Xanthi);null;EL51 - Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki);null;EL5 - ΒΟΡΕΙΑ ΕΛΛΑΔΑ (VOREIA ELLADA);;;
EL513 - Ροδόπη (Rodopi);null;EL51 - Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki);null;EL5 - ΒΟΡΕΙΑ ΕΛΛΑΔΑ (VOREIA ELLADA);;;
