NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
SK010 - Bratislavský kraj;null;SK01 - Bratislavský kraj;null;SK0 - SLOVENSKO;;;
SK021 - Trnavský kraj;null;SK02 - Západné Slovensko;null;SK0 - SLOVENSKO;;;
SK022 - Trenčiansky kraj;null;SK02 - Západné Slovensko;null;SK0 - SLOVENSKO;;;
SK023 - Nitriansky kraj;null;SK02 - Západné Slovensko;null;SK0 - SLOVENSKO;;;
SK031 - Žilinský kraj;null;SK03 - Stredné Slovensko;null;SK0 - SLOVENSKO;;;
SK032 - Banskobystrický kraj;null;SK03 - Stredné Slovensko;null;SK0 - SLOVENSKO;;;
SK041 - Prešovský kraj;null;SK04 - Východné Slovensko;null;SK0 - SLOVENSKO;;;
SK042 - Košický kraj;null;SK04 - Východné Slovensko;null;SK0 - SLOVENSKO;;;
