NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
IE011 - Border;null;IE01 - Border, Midland and Western;null;IE0 - IRELAND;;;
IE012 - Midland;null;IE01 - Border, Midland and Western;null;IE0 - IRELAND;;;
IE013 - West;null;IE01 - Border, Midland and Western;null;IE0 - IRELAND;;;
IE021 - Dublin;null;IE02 - Southern and Eastern;null;IE0 - IRELAND;;;
IE022 - Mid-East;null;IE02 - Southern and Eastern;null;IE0 - IRELAND;;;
IE023 - Mid-West;null;IE02 - Southern and Eastern;null;IE0 - IRELAND;;;
IE024 - South-East (IE);null;IE02 - Southern and Eastern;null;IE0 - IRELAND;;;
IE025 - South-West (IE);null;IE02 - Southern and Eastern;null;IE0 - IRELAND;;;
