NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
UKF13 - South and West Derbyshire;null;UKF1 - Derbyshire and Nottinghamshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKF14 - Nottingham;null;UKF1 - Derbyshire and Nottinghamshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKF15 - North Nottinghamshire;null;UKF1 - Derbyshire and Nottinghamshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKF16 - South Nottinghamshire;null;UKF1 - Derbyshire and Nottinghamshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKF21 - Leicester;null;UKF2 - Leicestershire, Rutland and Northamptonshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKF22 - Leicestershire CC and Rutland;null;UKF2 - Leicestershire, Rutland and Northamptonshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKF24 - West Northamptonshire;null;UKF2 - Leicestershire, Rutland and Northamptonshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKF25 - North Northamptonshire;null;UKF2 - Leicestershire, Rutland and Northamptonshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKF30 - Lincolnshire;null;UKF3 - Lincolnshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKG11 - Herefordshire, County of;null;UKG1 - Herefordshire, Worcestershire and Warwickshire;null;UKG - WEST MIDLANDS (ENGLAND);;;
