NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
UKC11 - Hartlepool and Stockton-on-Tees;null;UKC1 - Tees Valley and Durham;null;UKC - NORTH EAST (ENGLAND);;;
UKC12 - South Teesside;null;UKC1 - Tees Valley and Durham;null;UKC - NORTH EAST (ENGLAND);;;
UKC13 - Darlington;null;UKC1 - Tees Valley and Durham;null;UKC - NORTH EAST (ENGLAND);;;
UKC14 - Durham CC;null;UKC1 - Tees Valley and Durham;null;UKC - NORTH EAST (ENGLAND);;;
UKC21 - Northumberland;null;UKC2 - Northumberland and Tyne and Wear;null;UKC - NORTH EAST (ENGLAND);;;
UKC22 - Tyneside;null;UKC2 - Northumberland and Tyne and Wear;null;UKC - NORTH EAST (ENGLAND);;;
UKC23 - Sunderland;null;UKC2 - Northumberland and Tyne and Wear;null;UKC - NORTH EAST (ENGLAND);;;
UKD11 - West Cumbria;null;UKD1 - Cumbria;null;UKD - NORTH WEST (ENGLAND);;;
UKD12 - East Cumbria;null;UKD1 - Cumbria;null;UKD - NORTH WEST (ENGLAND);;;
UKD33 - Manchester;null;UKD3 - Greater Manchester;null;UKD - NORTH WEST (ENGLAND);;;
UKD34 - Greater Manchester South West;null;UKD3 - Greater Manchester;null;UKD - NORTH WEST (ENGLAND);;;
UKD35 - Greater Manchester South East;null;UKD3 - Greater Manchester;null;UKD - NORTH WEST (ENGLAND);;;
UKD36 - Greater Manchester North West;null;UKD3 - Greater Manchester;null;UKD - NORTH WEST (ENGLAND);;;
UKD37 - Greater Manchester North East;null;UKD3 - Greater Manchester;null;UKD - NORTH WEST (ENGLAND);;;
UKD41 - Blackburn with Darwen;null;UKD4 - Lancashire;null;UKD - NORTH WEST (ENGLAND);;;
UKD42 - Blackpool;null;UKD4 - Lancashire;null;UKD - NORTH WEST (ENGLAND);;;
UKD44 - Lancaster ' || chr(38) || ' Wyre;null;UKD4 - Lancashire;null;UKD - NORTH WEST (ENGLAND);;;
UKD45 - Mid Lancashire;null;UKD4 - Lancashire;null;UKD - NORTH WEST (ENGLAND);;;
UKD46 - East Lancashire;null;UKD4 - Lancashire;null;UKD - NORTH WEST (ENGLAND);;;
UKD47 - Chorley ' || chr(38) || ' West Lancashire;null;UKD4 - Lancashire;null;UKD - NORTH WEST (ENGLAND);;;
UKD61 - Warrington;null;UKD6 - Cheshire;null;UKD - NORTH WEST (ENGLAND);;;
UKD62 - Cheshire East;null;UKD6 - Cheshire;null;UKD - NORTH WEST (ENGLAND);;;
UKD63 - Cheshire West and Chester;null;UKD6 - Cheshire;null;UKD - NORTH WEST (ENGLAND);;;
UKD71 - East Merseyside;null;UKD7 - Merseyside;null;UKD - NORTH WEST (ENGLAND);;;
UKD72 - Liverpool;null;UKD7 - Merseyside;null;UKD - NORTH WEST (ENGLAND);;;
UKD73 - Sefton;null;UKD7 - Merseyside;null;UKD - NORTH WEST (ENGLAND);;;
UKD74 - Wirral;null;UKD7 - Merseyside;null;UKD - NORTH WEST (ENGLAND);;;
UKE11 - Kingston upon Hull, City of;null;UKE1 - East Yorkshire and Northern Lincolnshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE12 - East Riding of Yorkshire;null;UKE1 - East Yorkshire and Northern Lincolnshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE13 - North and North East Lincolnshire;null;UKE1 - East Yorkshire and Northern Lincolnshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE21 - York;null;UKE2 - North Yorkshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE22 - North Yorkshire CC;null;UKE2 - North Yorkshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE31 - Barnsley, Doncaster and Rotherham;null;UKE3 - South Yorkshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE32 - Sheffield;null;UKE3 - South Yorkshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE41 - Bradford;null;UKE4 - West Yorkshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE42 - Leeds;null;UKE4 - West Yorkshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE44 - Calderdale and Kirklees;null;UKE4 - West Yorkshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKE45 - Wakefield;null;UKE4 - West Yorkshire;null;UKE - YORKSHIRE AND THE HUMBER;;;
UKF11 - Derby;null;UKF1 - Derbyshire and Nottinghamshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
UKF12 - East Derbyshire;null;UKF1 - Derbyshire and Nottinghamshire;null;UKF - EAST MIDLANDS (ENGLAND);;;
