NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
FR101 - Paris;null;FR10 - Île de France;null;FR1 - ÎLE DE FRANCE;;;
FR102 - Seine-et-Marne;null;FR10 - Île de France;null;FR1 - ÎLE DE FRANCE;;;
FR103 - Yvelines;null;FR10 - Île de France;null;FR1 - ÎLE DE FRANCE;;;
FR104 - Essonne;null;FR10 - Île de France;null;FR1 - ÎLE DE FRANCE;;;
FR105 - Hauts-de-Seine;null;FR10 - Île de France;null;FR1 - ÎLE DE FRANCE;;;
FR106 - Seine-Saint-Denis;null;FR10 - Île de France;null;FR1 - ÎLE DE FRANCE;;;
FR107 - Val-de-Marne;null;FR10 - Île de France;null;FR1 - ÎLE DE FRANCE;;;
FR108 - Val-d'Oise;null;FR10 - Île de France;null;FR1 - ÎLE DE FRANCE;;;
FR211 - Ardennes;null;FR21 - Champagne-Ardenne;null;FR2 - BASSIN PARISIEN;;;
FR212 - Aube;null;FR21 - Champagne-Ardenne;null;FR2 - BASSIN PARISIEN;;;
FR213 - Marne;null;FR21 - Champagne-Ardenne;null;FR2 - BASSIN PARISIEN;;;
FR214 - Haute-Marne;null;FR21 - Champagne-Ardenne;null;FR2 - BASSIN PARISIEN;;;
FR221 - Aisne;null;FR22 - Picardie;null;FR2 - BASSIN PARISIEN;;;
FR222 - Oise;null;FR22 - Picardie;null;FR2 - BASSIN PARISIEN;;;
FR223 - Somme;null;FR22 - Picardie;null;FR2 - BASSIN PARISIEN;;;
FR231 - Eure;null;FR23 - Haute-Normandie;null;FR2 - BASSIN PARISIEN;;;
FR232 - Seine-Maritime;null;FR23 - Haute-Normandie;null;FR2 - BASSIN PARISIEN;;;
FR241 - Cher;null;FR24 - Centre;null;FR2 - BASSIN PARISIEN;;;
FR242 - Eure-et-Loir;null;FR24 - Centre;null;FR2 - BASSIN PARISIEN;;;
FR243 - Indre;null;FR24 - Centre;null;FR2 - BASSIN PARISIEN;;;
FR244 - Indre-et-Loire;null;FR24 - Centre;null;FR2 - BASSIN PARISIEN;;;
FR245 - Loir-et-Cher;null;FR24 - Centre;null;FR2 - BASSIN PARISIEN;;;
FR246 - Loiret;null;FR24 - Centre;null;FR2 - BASSIN PARISIEN;;;
FR251 - Calvados;null;FR25 - Basse-Normandie;null;FR2 - BASSIN PARISIEN;;;
FR252 - Manche;null;FR25 - Basse-Normandie;null;FR2 - BASSIN PARISIEN;;;
FR253 - Orne;null;FR25 - Basse-Normandie;null;FR2 - BASSIN PARISIEN;;;
FR261 - Côte-d'Or;null;FR26 - Bourgogne;null;FR2 - BASSIN PARISIEN;;;
FR262 - Nièvre;null;FR26 - Bourgogne;null;FR2 - BASSIN PARISIEN;;;
FR263 - Saône-et-Loire;null;FR26 - Bourgogne;null;FR2 - BASSIN PARISIEN;;;
FR264 - Yonne;null;FR26 - Bourgogne;null;FR2 - BASSIN PARISIEN;;;
FR301 - Nord;null;FR30 - Nord - Pas-de-Calais;null;FR3 - NORD - PAS-DE-CALAIS;;;
FR302 - Pas-de-Calais;null;FR30 - Nord - Pas-de-Calais;null;FR3 - NORD - PAS-DE-CALAIS;;;
FR411 - Meurthe-et-Moselle;null;FR41 - Lorraine;null;FR4 - EST;;;
FR412 - Meuse;null;FR41 - Lorraine;null;FR4 - EST;;;
FR413 - Moselle;null;FR41 - Lorraine;null;FR4 - EST;;;
FR414 - Vosges;null;FR41 - Lorraine;null;FR4 - EST;;;
FR421 - Bas-Rhin;null;FR42 - Alsace;null;FR4 - EST;;;
FR422 - Haut-Rhin;null;FR42 - Alsace;null;FR4 - EST;;;
FR431 - Doubs;null;FR43 - Franche-Comté;null;FR4 - EST;;;
FR432 - Jura;null;FR43 - Franche-Comté;null;FR4 - EST;;;
FR433 - Haute-Saône;null;FR43 - Franche-Comté;null;FR4 - EST;;;
FR434 - Territoire de Belfort;null;FR43 - Franche-Comté;null;FR4 - EST;;;
FR511 - Loire-Atlantique;null;FR51 - Pays de la Loire;null;FR5 - OUEST;;;
FR512 - Maine-et-Loire;null;FR51 - Pays de la Loire;null;FR5 - OUEST;;;
FR513 - Mayenne;null;FR51 - Pays de la Loire;null;FR5 - OUEST;;;
FR514 - Sarthe;null;FR51 - Pays de la Loire;null;FR5 - OUEST;;;
FR515 - Vendée;null;FR51 - Pays de la Loire;null;FR5 - OUEST;;;
FR521 - Côtes-d'Armor;null;FR52 - Bretagne;null;FR5 - OUEST;;;
FR522 - Finistère;null;FR52 - Bretagne;null;FR5 - OUEST;;;
FR523 - Ille-et-Vilaine;null;FR52 - Bretagne;null;FR5 - OUEST;;;
