NUTS3;NUTS-3 LATIN;NUTS2;NUTS-2 LATIN;NUTS-1;Urban/Rural;Metropolitaans;Maritiem
PT111 - Alto Minho;null;PT11 - Norte;null;PT1 - CONTINENTE;;;
PT112 - Cávado;null;PT11 - Norte;null;PT1 - CONTINENTE;;;
PT119 - Ave;null;PT11 - Norte;null;PT1 - CONTINENTE;;;
PT11A - Área Metropolitana do Porto;null;PT11 - Norte;null;PT1 - CONTINENTE;;;
PT11B - Alto Tâmega;null;PT11 - Norte;null;PT1 - CONTINENTE;;;
PT11C - Tâmega e Sousa;null;PT11 - Norte;null;PT1 - CONTINENTE;;;
PT11D - Douro;null;PT11 - Norte;null;PT1 - CONTINENTE;;;
PT11E - Terras de Trás-os-Montes;null;PT11 - Norte;null;PT1 - CONTINENTE;;;
PT150 - Algarve;null;PT15 - Algarve;null;PT1 - CONTINENTE;;;
PT16B - Oeste;null;PT16 - Centro (PT);null;PT1 - CONTINENTE;;;
PT16D - Região de Aveiro;null;PT16 - Centro (PT);null;PT1 - CONTINENTE;;;
PT16E - Região de Coimbra;null;PT16 - Centro (PT);null;PT1 - CONTINENTE;;;
PT16F - Região de Leiria;null;PT16 - Centro (PT);null;PT1 - CONTINENTE;;;
PT16G - Viseu Dão Lafões;null;PT16 - Centro (PT);null;PT1 - CONTINENTE;;;
PT16H - Beira Baixa;null;PT16 - Centro (PT);null;PT1 - CONTINENTE;;;
PT16I - Médio Tejo;null;PT16 - Centro (PT);null;PT1 - CONTINENTE;;;
PT16J - Beiras e Serra da Estrela;null;PT16 - Centro (PT);null;PT1 - CONTINENTE;;;
PT170 - Área Metropolitana de Lisboa;null;PT17 - Área Metropolitana de Lisboa;null;PT1 - CONTINENTE;;;
PT181 - Alentejo Litoral;null;PT18 - Alentejo;null;PT1 - CONTINENTE;;;
PT184 - Baixo Alentejo;null;PT18 - Alentejo;null;PT1 - CONTINENTE;;;
PT185 - Lezíria do Tejo;null;PT18 - Alentejo;null;PT1 - CONTINENTE;;;
PT186 - Alto Alentejo;null;PT18 - Alentejo;null;PT1 - CONTINENTE;;;
PT187 - Alentejo Central;null;PT18 - Alentejo;null;PT1 - CONTINENTE;;;
PT300 - Região Autónoma da Madeira;null;PT30 - Região Autónoma da Madeira;null;PT3 - REGIÃO AUTÓNOMA DA MADEIRA;;;
