PARTY = party abbreviation,,,,
Country,Party ID,Party Abbrev,Party Name,Party Name (English)
BE,102,PS,Parti Socialiste,Socialist Party
,103,SP; SPA,Socialistische Partij;,Socialist Party;
,,,Socialistische Partij Anders,Socialist Party Different
,104,ECOLO,Ecolo,Ecolo
,105,AGALEV; Groen,Agalev; Groen!,Agalev; Green!
,106,PRL; MR,Parti Réformateur Libéral;,Liberal Reformist Party;
,,,Mouvement Réformateur,Reformist Movement
,107,VLD,Open Vlaamse Liberalen en Democraten,Open Flemish Liberals and Democrats
,108,PSC; CDH,Parti Social Chrétien;,Christian Social Party;
,,,Centre Démocrate Humaniste,Humanist Democratic Centre
,109,CVP; CD&V,Christelijke Volkspartij;,Christian People’s Party;
,,,Christen-Democratisch & Vlaams,Christian Democratic & Flemish
,110,VU; NVA,Volksunie; Nieuw-Vlaamse Alliantie,People’s Union; New Flemish Alliance
,111,FDF,Front Démocratique des Francophones,Francophone Democratic Front
,112,VB,Vlaams Blok; Vlaams Belang,Flemish Bloc; Flemish Interest
,113,MCC,Mouvement des Citoyens pour le Changement,Citizens’ Movement for Change
,114,ID21,ID21,ID21
,115,FN,Front National,National Front
,117,LDD,Lijst Dedecker,List Dedecker
,118,SLP; Spirit,Sociaal-Liberale Partij; Spirit,Social-Liberal Party; Spirit
,119,PVDA,Partij van de Arbeid van België,Workers’ Party of Belgium
,120,PP,Parti Populaire,People’s Party
DK,201,SD,Socialdemokraterne,Social Democrats
,202,RV,Det Radikale Venstre,Radical Left-Social Liberal Party
,203,KF,Det Konservative Folksparti,Conservative People’s Party
,204,CD,Centrum-Demokraterne,Centre Democrats
,206,SF,Socialistisk Folkeparti,Socialist People’s Party
,210,KRF,Kristeligt Folkeparti,Christian People’s Party
,211,V,"Venstre, Danmarks Liberale Parti","Venstre, Liberal Party of Denmark"
,212,FP,Fremskridtspartiet,Progress Party
,213,EL,Enhedslisten,Unity List-Red/Green Alliance
,215,DF,Dansk Folkeparti,Danish People’s Party
,216,JuniB,JuniBevægelsen,June Movement
,217,FolkB,Folkebevægelsen mod EU,People’s Movement Against the EU
,218,LA,Liberal Alliance,Liberal Alliance
,,,,Continued on next page

PARTY = party abbreviation (continued from previous page),,,,
Country,Party ID,Party Abbrev,Party Name,Party Name (English)
GE,301,CDU,Christlich Demokratische Union Deutschlands,Christian Democratic Union of Germany
,302,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany
,303,FDP,Freie Demokratische Partei,Free Democratic Party
,304,Grunen,Bündnis ’90; Die Grünen,Alliance 90; The Greens
,305,REP,Republikaner,Republikaner
,306,PDS;,Partei des Demokratischen Sozialismus;,Party of Democratic Socialism;
,,Linkspartei;,Die Linkspartei;,Left Party;
,,Linke,Die Linke,The Left
,308,CSU,Christlich Soziale Union in Bayern,Christian Social Union in Bavaria
,309,DVU; NPD,Deutsche Volksunion;,German People’s Union;
,,,Nationaldemokratische Partei Deutschlands,National Democratic Party of Germany
,310,AfD,Alternative für Deutschland,Alternative for Germany
,311,Piraten,Piratenpartei Deutschland,Pirate Party of Germany
,312,DieTier,Mensch Umwelt Tierschutz,Human Environment Animal Protection
GR,401,PASOK,Panellinio Sosialistikó Kínima,Panhellenic Socialist Movement
,402,ND,Néa Dimokratía,New Democracy
,403,SYN; SYRIZA,Synaspismós tïs Aristerás kai tïs Proódou;,Coalition of the Left and Progress;
,,,Synaspismó’s Rizospastikís Aristerás,Coalition of the Radical Left
,404,KKE,Kommounistikó Kómma Elládas,Communist Party of Greece
,408,POLA,Politiki Anixi,Political Spring
,409,DIKKI,Dimokratiko Kinoniko Kinima,Democratic Social Movement
,410,LAOS,Laïkós Orthódoxos Synagermós,Popular Orthodox Rally
,411,OP,Oikologoi Prasinoi,Ecologist Greens
,412,ANEL,Anexartitoi Ellines,Independent Greeks
,413,Potami,To Potami,The River
,414,DIMAR,Dimokratiki Aristera,Democratic Left
,415,XA,Laïkós Sýndesmos—Chrysí Avgí,Popular Association—Golden Dawn
ESP,501,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party
,502,PP,Partido Popular,People’s Party
,504,IU,Izquierda Unida,United Left
,505,CiU,Convergència i Unió,Convergence and Unity
,506,PNV,Euzko Alderdi Jeltzalea/Partido Nacionalista Vasco,Basque Nationalist Party
,507,EA,Eusko Alkartasuna,Basque Solidarity
,508,EH,Euskal Herritarrok,We Basque Citizens
,510,PAR,Partido Aragonés,Aragonese Party
,511,ERC,Esquerra Republicana de Catalunya,Republican Left of Catalonia
